Wafer_ID,Lot_Num,Wafer_Num,Date,Ox_Chamber,Ox_Type,Ox_Temp,Ox_ppm,Ox_Pressure,Ox_Time,Ox_Thickness,photo_soft_Chamber,resist_uniformity,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1_rpm,spin2_rpm,spin3_rpm,PR_amount,temp_softbake,time_softbake,litho_Chamber,CD,UV_type,Resolution,Energy_Exposure,Etching_Chamber,Etch_Drop_10_20,Etch_Drop_20_30,Etch_Drop_30_40,Etch_Total_Drop,Temp_Etching,Source_Power,Selectivity,Ion_Chamber,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,Ion_Energy,Ion_Temp,Furnace_Temp,RTA_Temp,Target,Error_type
NOLSM32513132,13,28,2025-01-05,2,dry,1214.33,26.78,0.3,120,712.98,1,1.426,17.362,15.112,19.893,200.511,89.963,502.276,4017.015,4903.689,5.105,91.947,29.911,1,41.548,I,505.405,109.653,1,2088.0,2122.0,1182.0,5392.0,72.628,52.08,1.188,1,1.5e+16,1.32e+17,6.47e+17,3.01e+17,6e+17,30795.856,103.513,854,154,141,none
NOLSM32513133,13,29,2025-01-05,2,dry,977.98,30.9,0.14,137,714.41,1,0.73,16.015,15.083,20.035,199.876,89.988,507.132,4073.049,4979.083,4.92,91.073,30.004,1,53.649,H,541.691,104.946,2,2098.0,2118.0,1248.0,5464.0,70.22,52.028,0.847,2,1.11e+16,4.37e+16,1.04e+18,3.03e+17,6e+17,32135.659,105.628,895,156,55,none
NOLSM32513134,13,30,2025-01-05,2,dry,1175.95,31.11,0.25,116,710.27,1,0.903,19.229,14.917,19.884,202.098,89.918,501.579,4085.002,5031.775,4.948,92.076,30.037,1,47.647,I,532.233,106.563,3,2076.0,2085.0,1157.0,5318.0,71.14,50.705,1.152,3,1.04e+16,1.51e+16,6.47e+17,2.98e+17,6e+17,31057.876,102.716,898,152,96,none
NOLSM32513135,13,31,2025-01-05,2,dry,933.47,31.2,0.29,143,710.62,1,0.51,18.894,14.886,20.023,194.679,90.094,503.475,4045.281,4969.189,4.808,91.422,30.037,1,33.04,G,537.622,108.696,1,2057.0,2335.0,998.0,5390.0,71.306,51.55,1.063,1,8890000000000000.0,1.02e+17,3.41e+17,3e+17,6e+17,32140.435,102.902,879,155,105,none
NOLSM32513136,13,32,2025-01-05,2,wet,1140.6,31.38,0.2,76,711.7,1,1.696,13.851,14.705,20.0,202.137,90.07,501.384,4010.123,5092.433,5.056,94.836,30.087,1,57.411,H,522.135,109.944,2,2092.0,2186.0,1232.0,5510.0,72.982,50.681,1.12,2,1.67e+16,7.88e+16,7.26e+17,3.02e+17,6e+17,31985.989,101.465,882,155,79,none
NOLSM32513137,13,33,2025-01-05,2,dry,1311.32,40.91,0.24,114,709.97,1,0.542,18.724,15.162,19.942,197.233,90.013,500.995,4030.404,4946.228,4.968,90.846,30.081,1,4.501,I,539.849,107.76,3,2043.0,2121.0,1268.0,5432.0,70.227,51.761,1.04,3,1.13e+16,8.12e+16,3.27e+17,2.99e+17,6e+17,31982.682,103.769,871,152,96,none
NOLSM32513138,13,34,2025-01-05,2,dry,938.44,30.24,0.2,116,714.32,1,0.731,20.652,15.006,20.047,202.016,90.056,501.386,4126.107,5060.469,4.942,88.811,29.998,1,59.73,I,482.683,107.12,1,2111.0,1993.0,1195.0,5299.0,70.642,50.94,1.068,1,1.13e+16,1.16e+17,9.13e+17,2.99e+17,6e+17,32499.387,102.896,916,157,115,none
NOLSM32513139,13,35,2025-01-05,2,dry,1033.84,30.49,0.2,218,700.8,1,0.558,11.351,14.927,20.004,202.562,90.001,497.175,3902.577,5113.73,4.905,92.69,30.064,1,26.816,G,526.266,105.766,2,2047.0,2209.0,917.0,5173.0,69.557,51.814,1.14,2,1.12e+16,7.2e+16,5.02e+17,3e+17,6e+17,32016.304,104.263,891,153,167,none
NOLSM32513140,13,36,2025-01-05,2,wet,1154.46,32.27,0.35,119,715.26,1,1.431,15.234,14.971,20.014,200.477,90.087,500.049,3995.3,4942.828,5.123,91.497,29.914,1,23.327,I,507.408,105.061,3,2090.0,2227.0,1459.0,5776.0,70.012,51.122,0.936,3,1.45e+16,6.48e+16,5.77e+17,3.01e+17,6e+17,31810.514,103.485,903,153,45,none
NOLSM32513141,13,37,2025-01-05,2,wet,992.48,35.43,0.18,108,687.41,1,0.746,12.437,15.016,20.074,203.073,90.029,501.311,4135.31,5111.295,5.073,93.014,30.067,2,60.122,G,508.914,106.84,1,2042.0,2018.0,1231.0,5291.0,71.717,51.893,0.98,1,1.06e+16,8.54e+16,7.99e+17,3e+17,6e+17,31969.509,102.811,883,161,54,none
NOLSM32513142,13,38,2025-01-05,2,wet,1079.84,35.01,0.24,144,722.47,1,1.588,19.894,14.966,20.018,199.341,89.924,496.481,4041.308,4982.683,4.951,90.173,29.846,2,53.956,G,492.812,110.947,2,2067.0,2098.0,1145.0,5310.0,69.999,50.826,1.041,2,1.53e+16,1.01e+17,4.94e+17,3e+17,6e+17,31419.842,103.331,862,154,84,none
NOLSM32513143,13,39,2025-01-05,2,wet,1032.7,38.36,0.33,58,721.54,1,0.852,16.102,14.941,19.957,204.366,90.043,501.549,4052.412,5036.12,4.883,94.833,29.964,2,20.451,G,547.409,110.758,3,2015.0,2220.0,1101.0,5336.0,71.069,51.05,0.978,3,1.06e+16,1.63e+17,2.2e+17,3.03e+17,6e+17,31196.165,104.466,892,154,30,none
NOLSM32513144,13,40,2025-01-05,2,wet,1022.39,32.89,0.03,144,708.77,1,1.208,17.533,15.024,20.102,198.606,89.951,495.975,4029.289,5156.963,5.047,90.54,29.991,2,49.562,H,511.467,105.132,1,2111.0,2123.0,1190.0,5424.0,71.084,51.053,1.045,1,1.13e+16,8.42e+16,5.4e+17,3e+17,6e+17,31201.396,103.061,902,158,48,none
NOLSM32513145,13,41,2025-01-05,2,dry,1132.11,38.1,0.06,119,702.45,1,1.689,16.547,15.103,20.097,201.779,90.015,500.476,4088.437,5019.567,4.977,93.83,30.038,2,36.501,H,511.344,107.645,2,2068.0,2129.0,920.0,5117.0,71.088,50.977,1.071,2,1.17e+16,1.1e+17,4.95e+17,3e+17,6e+17,31083.91,101.685,895,153,15,none
NOLSM32513146,13,42,2025-01-05,2,dry,1158.08,26.74,0.16,118,702.54,1,1.504,13.546,15.006,20.113,202.314,89.987,502.306,4062.149,5086.059,4.808,92.45,29.993,2,32.958,G,515.679,109.461,3,2069.0,2071.0,1291.0,5431.0,71.215,50.371,1.047,3,1.18e+16,8.54e+16,4.07e+17,3.01e+17,6e+17,32254.038,102.937,904,155,87,none
NOLSM32513147,13,43,2025-01-05,2,dry,1128.91,36.03,0.23,98,715.4,1,1.259,15.966,15.138,19.845,200.308,90.114,503.495,4088.422,5101.466,4.992,93.015,29.88,2,47.142,I,532.239,104.947,1,2058.0,2194.0,1160.0,5412.0,71.162,50.423,1.035,1,1.42e+16,8.73e+16,5.93e+17,3e+17,6e+17,31446.33,102.751,882,155,31,none
